weekday
all_key,all_first,all_msgs,all_batches,all_words,all_attachments,all_delay,all_quick_10min,all_subhour,all_3hours+
1,11:25am,298,69,6377,79,180,46,60,30
2,10:32am,290,88,6176,87,142,35,56,23
3,08:38am,303,90,6249,63,125,40,62,23
4,10:52am,281,79,5594,67,137,47,69,20
5,09:51am,294,82,5041,95,124,38,65,19
6,10:19am,339,81,6148,90,111,56,68,20
0,11:25am,281,84,6117,78,134,39,60,23
week
all_key,all_first,all_msgs,all_batches,all_words,all_attachments,all_delay,all_quick_10min,all_subhour,all_3hours+
0,10:05am,81,24,1871,41,262,21,34,50
1,08:51am,98,29,1758,46,239,20,31,44
2,11:04am,55,20,747,17,208,14,51,37
3,07:19am,69,22,1606,20,198,16,40,48
4,02:33pm,50,15,832,12,214,38,57,26
5,10:39am,77,20,1602,14,155,51,69,25
6,02:04pm,67,20,1307,22,214,29,58,37
7,09:38am,90,29,1491,33,134,42,63,23
8,12:03pm,70,22,1210,28,225,36,40,36
9,09:42am,145,37,2486,37,106,49,66,15
10,08:59am,128,27,2928,31,115,53,65,22
11,07:20am,113,34,1719,20,89,52,77,15
12,09:26am,92,24,2151,23,220,42,57,28
13,01:54pm,46,15,779,20,241,33,50,38
14,08:48am,134,42,2984,38,93,43,63,16
15,10:51am,136,35,2148,29,88,58,77,14
16,10:34am,111,23,2413,24,103,44,67,13
17,12:45pm,111,26,2019,30,83,55,71,11
18,10:08am,81,35,2315,11,123,33,55,24
19,01:57pm,56,21,990,10,118,38,76,11
20,08:09am,117,31,2568,20,80,62,74,12
21,08:59am,130,32,3096,29,88,53,75,18
22,08:45am,29,7,682,4,133,33,58,16
month
all_key,all_first,all_msgs,all_batches,all_words,all_attachments,all_delay,all_quick_10min,all_subhour,all_3hours+
201909,09:16am,303,92,5982,124,229,18,38,45
201910,12:09pm,308,87,5621,90,178,42,62,28
201911,08:58am,507,127,9549,123,119,49,66,19
201912,11:26am,473,121,9342,125,109,50,68,16
202001,10:45am,405,126,9163,80,105,44,67,17
202002,09:02am,90,19,2045,17,90,56,75,14
day
all_key,all_first,all_msgs,all_batches,all_words,all_attachments,all_delay,all_quick_10min,all_subhour,all_3hours+
2019-09-03,09:58am,8,3,388,2,132,0,50,50
2019-09-04,08:18pm,1,1,54,1,1228,0,0,100
2019-09-05,12:23pm,7,2,392,0,361,33,33,33
2019-09-06,07:53am,19,5,281,8,188,50,62,25
2019-09-07,06:51am,23,5,177,20,242,16,33,33
2019-09-08,08:11am,10,7,143,6,259,16,16,66
2019-09-09,05:01am,13,7,436,4,218,0,16,83
2019-09-10,08:38am,29,9,652,12,148,25,50,37
2019-09-11,03:16am,10,6,198,2,179,28,28,42
2019-09-12,09:20am,15,4,126,12,379,0,0,66
2019-09-13,09:34pm,8,2,125,5,1254,0,0,100
2019-09-14,10:47am,16,5,260,7,213,40,40,40
2019-09-15,04:47am,13,6,296,5,160,0,0,33
2019-09-16,03:40am,7,3,101,3,289,0,50,50
2019-09-17,07:35pm,11,3,175,5,523,0,50,50
2019-09-18,11:06am,6,5,97,2,175,0,50,25
2019-09-19,04:20am,10,7,144,2,189,0,42,42
2019-09-20,03:25am,19,5,250,4,128,36,72,27
2019-09-22,06:58am,4,3,21,3,516,0,0,100
2019-09-23,09:00pm,5,1,60,1,105,0,0,0
2019-09-24,04:39am,16,6,374,11,226,0,33,66
2019-09-25,07:55am,11,5,325,1,177,16,33,50
2019-09-26,05:39am,2,2,20,0,220,0,0,100
2019-09-27,08:16pm,1,1,52,0,,,,
2019-09-28,04:25am,14,6,274,1,178,0,33,33
2019-09-29,05:11am,7,3,150,3,541,0,0,100
2019-09-30,03:14am,18,4,411,4,49,50,83,16
2019-10-01,07:32pm,3,2,112,0,768,0,0,100
2019-10-02,10:01pm,2,1,38,2,,,,
2019-10-03,06:47am,3,3,39,1,296,0,0,66
2019-10-04,11:23am,18,6,311,1,153,58,75,16
2019-10-06,12:36pm,8,2,63,0,322,66,66,33
2019-10-07,03:00pm,16,6,269,8,58,16,66,0
2019-10-08,10:15am,16,3,483,3,155,66,66,33
2019-10-09,06:43pm,7,3,419,3,30,33,66,0
2019-10-10,03:41am,19,5,322,5,96,25,50,25
2019-10-11,03:40am,6,4,67,1,340,25,50,50
2019-10-12,12:12pm,13,8,129,1,130,40,80,20
2019-10-14,03:23pm,16,2,182,1,168,77,77,22
2019-10-15,04:24am,15,5,225,6,260,25,25,50
2019-10-16,09:09pm,2,1,22,0,57,0,100,0
2019-10-17,08:10am,11,3,186,2,203,50,50,50
2019-10-18,11:00am,14,5,250,3,160,33,66,33
2019-10-19,01:10pm,14,6,451,5,179,16,66,33
2019-10-20,08:05pm,4,2,67,1,2,100,100,0
2019-10-21,08:35pm,7,3,106,5,598,0,50,50
2019-10-22,01:46pm,6,3,95,3,557,0,0,50
2019-10-23,04:14am,10,4,138,5,250,33,33,50
2019-10-24,12:35pm,14,4,220,4,50,71,85,14
2019-10-25,11:54am,21,8,470,6,74,33,66,16
2019-10-26,07:42am,16,3,128,8,171,57,71,28
2019-10-27,05:41am,16,9,301,5,42,37,75,12
2019-10-28,11:39am,7,4,139,2,70,0,50,0
2019-10-29,04:17pm,7,2,218,1,267,60,60,40
2019-10-30,02:33pm,6,3,74,1,274,66,66,33
2019-10-31,04:32am,11,4,97,7,183,33,33,66
2019-11-01,08:02pm,4,1,24,3,160,0,0,0
2019-11-02,05:26am,10,4,156,5,365,0,0,100
2019-11-03,07:38pm,4,1,41,1,1202,0,0,100
2019-11-04,03:53am,28,12,600,10,83,30,40,10
2019-11-05,09:00pm,3,1,18,1,1322,0,0,100
2019-11-06,08:56am,24,7,193,10,53,44,66,11
2019-11-07,04:48am,22,6,455,4,107,40,40,40
2019-11-08,03:51am,31,10,876,4,64,68,75,12
2019-11-09,08:44am,37,9,567,12,57,50,80,5
2019-11-10,05:16pm,14,5,147,4,187,25,50,12
2019-11-11,03:23am,14,5,230,2,133,50,60,30
2019-11-12,07:01pm,16,4,373,0,9,62,100,0
2019-11-13,03:48am,22,5,731,9,158,33,55,22
2019-11-14,11:25am,8,3,154,4,459,0,33,66
2019-11-15,03:33am,14,7,366,1,126,40,40,30
2019-11-16,01:19pm,32,3,627,5,15,92,92,7
2019-11-17,08:40am,14,6,407,6,294,0,0,50
2019-11-18,03:09am,22,5,270,6,114,60,70,30
2019-11-19,05:03am,21,6,397,4,161,37,50,37
2019-11-20,05:09am,21,9,420,5,117,10,60,30
2019-11-21,04:11am,36,12,484,4,42,59,90,4
2019-11-22,04:08am,30,9,408,4,37,75,90,5
2019-11-24,05:48am,2,1,10,0,311,50,50,50
2019-11-25,07:41pm,3,1,0,3,830,0,0,100
2019-11-26,10:21am,1,1,7,0,880,0,0,100
2019-11-27,04:39am,33,6,726,6,105,66,80,13
2019-11-28,07:51am,19,7,394,3,138,20,40,20
2019-11-29,07:34am,11,3,213,3,315,40,40,40
2019-11-30,05:46am,11,5,255,4,202,33,66,33
2019-12-01,02:08pm,10,4,198,6,372,0,25,50
2019-12-02,03:49pm,7,4,358,1,445,50,50,50
2019-12-03,09:04am,11,4,157,5,223,50,50,25
2019-12-04,11:42am,8,4,202,1,227,50,50,33
2019-12-06,11:42am,6,2,158,2,410,0,33,66
2019-12-07,08:43pm,3,1,37,2,,,,
2019-12-08,07:10pm,4,2,30,3,,,,
2019-12-09,11:05am,14,6,195,7,171,20,60,40
2019-12-10,09:18am,28,10,658,5,41,60,80,10
2019-12-11,08:11am,26,8,389,12,123,12,37,12
2019-12-12,09:31am,27,6,623,4,106,58,66,16
2019-12-13,03:40am,9,6,365,1,130,40,60,40
2019-12-14,09:58am,13,4,195,8,16,75,75,0
2019-12-15,01:39pm,19,6,276,6,41,50,80,10
2019-12-16,07:19am,12,8,478,2,215,0,33,33
2019-12-17,05:49am,12,3,264,2,244,40,40,60
2019-12-18,03:20pm,21,7,295,8,129,37,75,12
2019-12-19,08:22am,12,7,173,1,192,14,42,42
2019-12-20,12:27pm,6,4,175,1,93,50,75,25
2019-12-21,02:14pm,11,5,135,4,256,20,80,20
2019-12-22,04:03am,52,12,930,7,38,72,81,6
2019-12-23,03:47pm,22,3,176,6,4,83,100,0
2019-12-24,04:10pm,4,2,43,0,451,66,66,33
2019-12-27,10:19am,18,2,56,13,3,100,100,0
2019-12-28,05:12am,35,13,957,2,88,14,50,14
2019-12-29,07:51am,42,4,988,7,77,66,83,11
2019-12-30,01:21pm,12,6,369,2,93,0,40,20
2019-12-31,04:39pm,29,4,462,7,19,87,87,0
2020-01-01,09:11am,20,8,388,7,41,42,57,0
2020-01-02,12:40pm,18,6,465,1,146,50,70,20
2020-01-03,04:11pm,9,2,191,0,26,50,83,0
2020-01-04,10:37am,10,4,227,1,156,0,33,33
2020-01-05,11:39am,21,5,192,12,54,57,71,14
2020-01-06,12:18pm,4,3,94,2,422,0,33,66
2020-01-07,09:18am,5,4,146,1,328,0,0,100
2020-01-08,07:16am,19,8,459,4,75,50,75,12
2020-01-09,08:57am,14,7,591,1,115,25,50,25
2020-01-10,11:45am,9,6,240,1,260,16,50,33
2020-01-11,01:10pm,12,8,205,3,61,0,50,0
2020-01-12,05:16am,6,5,180,0,193,16,33,50
2020-01-13,03:15pm,16,3,494,1,32,77,77,11
2020-01-14,10:29am,4,3,132,0,485,0,0,50
2020-01-15,07:01pm,15,5,381,3,25,50,75,0
2020-01-16,02:31pm,12,6,245,0,14,33,100,0
2020-01-17,06:44pm,3,3,46,0,459,0,66,33
2020-01-18,07:42am,19,8,186,4,49,54,81,9
2020-01-19,01:42pm,2,1,0,2,,,,
2020-01-20,01:32pm,1,1,0,1,,,,
2020-01-21,03:06am,17,5,200,4,156,40,40,20
2020-01-22,03:51am,4,2,117,2,0,100,100,0
2020-01-23,01:05pm,19,7,366,2,28,66,88,0
2020-01-24,01:41pm,9,3,316,2,20,0,100,0
2020-01-25,01:01pm,3,2,25,2,1347,0,0,100
2020-01-26,06:00am,46,7,770,5,35,83,87,12
2020-01-27,04:24am,19,11,774,3,91,25,37,12
2020-01-28,07:00am,20,6,403,6,90,50,70,30
2020-01-29,07:39am,9,4,223,0,387,0,0,100
2020-01-30,10:03am,24,7,753,6,90,40,70,10
2020-01-31,10:36am,16,6,354,4,33,50,87,0
2020-02-01,04:25am,2,1,50,1,293,0,0,100
2020-02-02,06:25am,41,8,938,8,34,80,90,10
2020-02-03,04:51pm,18,6,375,4,138,37,75,12
2020-02-04,01:29pm,16,2,395,1,118,37,75,12
2020-02-05,04:02am,13,6,287,3,163,25,25,25
###
L weekday
person,L_key,L_first,L_msgs,L_batches,L_words,L_attachments,L_delay,L_quick_10min,L_subhour,L_3hours+
1,L,02:02pm,152,43,3192,28,101,59,68,21
3,L,11:38am,179,60,3022,32,86,53,73,15
4,L,12:28pm,155,59,2612,23,86,59,76,11
5,L,11:24am,157,49,2627,39,77,44,67,11
6,L,12:20pm,177,49,2813,38,80,65,77,13
0,L,02:40pm,159,49,3159,34,88,50,68,15
2,L,12:45pm,161,51,3136,38,76,48,63,10
L week
person,L_key,L_first,L_msgs,L_batches,L_words,L_attachments,L_delay,L_quick_10min,L_subhour,L_3hours+
0,L,10:12am,46,12,829,20,159,31,43,31
1,L,11:22am,55,14,1005,21,149,33,33,25
2,L,01:31pm,29,11,460,8,166,15,61,30
3,L,01:11pm,34,11,698,5,141,27,54,27
4,L,03:51pm,33,8,412,9,251,46,53,38
5,L,04:19pm,34,12,448,5,87,63,73,15
6,L,03:45pm,39,12,503,13,99,27,81,18
7,L,02:26pm,48,17,753,13,100,50,72,11
8,L,03:06pm,38,12,697,11,102,54,54,18
9,L,12:15pm,80,28,1353,17,57,61,76,8
10,L,11:46am,76,17,1638,16,99,62,75,13
11,L,07:32am,65,25,908,7,42,61,80,6
12,L,09:28am,50,18,898,3,176,58,64,17
13,L,02:15pm,18,6,232,5,68,37,62,12
14,L,11:43am,76,29,1435,21,55,59,70,7
15,L,12:20pm,76,25,1166,7,47,75,86,11
16,L,01:18pm,58,14,1509,5,61,47,71,9
17,L,01:57pm,51,13,771,8,61,69,73,11
18,L,12:10pm,43,17,1107,4,60,45,68,13
19,L,02:03pm,32,12,493,7,118,30,69,15
20,L,11:54am,67,21,1212,7,57,66,79,12
21,L,12:09pm,73,23,1547,20,29,72,86,6
