num_words,20561,21141
unique_words,4704,4547
word,L,L_normalized,S,S_normalized
i,656,100.00,947,100.00
you,421,64.18,489,51.64
my,191,29.12,295,31.15
your,127,19.36,130,13.73
good,95,14.48,85, 8.98
like,94,14.33,54, 5.70
not,91,13.87,165,17.42
me,90,13.72,207,21.86
if,85,12.96,72, 7.60
just,83,12.65,106,11.19
about,77,11.74,58, 6.12
can,76,11.59,101,10.67
time,72,10.98,81, 8.55
work,43, 6.55,72, 7.60
love,36, 5.49,72, 7.60
feel,21, 3.20,32, 3.38
need,19, 2.90,31, 3.27
had,61, 9.30,94, 9.93
do,59, 8.99,82, 8.66
get,53, 8.08,82, 8.66
would,37, 5.64,81, 8.55
we,50, 7.62,80, 8.45
when,64, 9.76,75, 7.92
start_date,L_first,S_first,L_msgs,S_msgs,L_batches,S_batches,L_words,S_words,L_attachments,S_attachments,L_delay,S_delay,L_quick_10min,S_quick_10min,L_subhour,S_subhour,L_3hours+,S_3hours+
Monday,02:40pm,12:12pm,159,122,49,40,3159,2958,34,44,88,175,50,30,68,52,15,30
Tuesday,02:02pm,11:43am,152,146,43,34,3192,3185,28,51,101,251,59,34,68,52,21,38
Wednesday,12:45pm,10:02am,161,129,51,54,3136,3040,38,49,76,206,48,23,63,49,10,36
Thursday,11:38am,09:23am,179,124,60,50,3022,3227,32,31,86,161,53,27,73,53,15,30
Friday,12:28pm,12:08pm,155,126,59,47,2612,2982,23,44,86,187,59,36,76,61,11,29
Saturday,11:24am,10:03am,157,137,49,46,2627,2414,39,56,77,167,44,33,67,63,11,26
Sunday,12:20pm,10:20am,177,162,49,54,2813,3335,38,52,80,141,65,47,77,59,13,26
start_date,L_first,S_first,L_msgs,S_msgs,L_batches,S_batches,L_words,S_words,L_attachments,S_attachments,L_delay,S_delay,L_quick_10min,S_quick_10min,L_subhour,S_subhour,L_3hours+,S_3hours+
2019-09-01 00:00:00,11:57am,09:47am,164,139,45,46,2992,2990,54,70,155,293,26,11,48,31,28,59
2019-10-01 00:00:00,03:28pm,12:20pm,168,140,50,49,2339,3282,43,47,123,228,51,34,71,54,19,37
2019-11-01 00:00:00,10:26am,09:52am,287,220,89,77,5029,4520,51,72,77,159,60,38,73,59,10,27
2019-12-01 00:00:00,01:01pm,11:41am,246,227,77,72,4725,4617,39,86,59,156,63,38,77,60,9,23
2020-01-01 00:00:00,12:41pm,10:59am,226,179,70,74,4289,4874,38,42,71,139,53,36,70,63,14,20
2020-02-01 00:00:00,01:59pm,09:02am,49,41,16,11,1187,858,7,10,16,161,75,38,90,61,0,28
start_date,L_first,S_first,L_msgs,S_msgs,L_batches,S_batches,L_words,S_words,L_attachments,S_attachments,L_delay,S_delay,L_quick_10min,S_quick_10min,L_subhour,S_subhour,L_3hours+,S_3hours+
2019-09-02,10:05am,11:17am,38,30,10,10,625,810,17,20,148,397,38,15,46,30,23,61
2019-09-09,11:07am,09:03am,57,47,15,17,1124,969,21,26,135,305,28,10,35,21,28,68
2019-09-16,01:19pm,10:11am,35,22,12,9,545,243,11,8,192,243,14,14,57,50,35,42
2019-09-23,12:22pm,09:52am,25,31,9,9,516,739,4,13,193,268,0,8,37,16,37,66
2019-09-30,04:06pm,10:46am,32,20,8,9,440,534,5,3,239,185,61,30,61,61,38,23
2019-10-07,04:15pm,10:59am,39,38,15,14,566,1123,10,11,101,170,50,27,66,66,16,27
2019-10-14,02:48pm,01:20pm,38,38,11,10,455,928,9,9,76,259,50,41,85,47,14,47
2019-10-21,03:47pm,11:06am,50,40,17,15,765,693,16,20,101,216,50,35,72,55,11,40
2019-10-28,03:55pm,02:42pm,24,25,7,9,395,354,8,12,119,410,57,20,71,20,28,60
2019-11-04,10:57am,09:46am,90,69,33,27,1579,1277,21,24,43,153,58,34,70,57,5,20
2019-11-11,12:00pm,10:24am,73,47,17,14,1656,1232,15,12,105,131,62,41,75,51,13,31
2019-11-18,08:35am,04:34am,76,56,27,23,1038,951,8,15,52,111,61,47,80,75,8,25
